시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,lat,long,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
서울특별시,종로구,삼청어린이집,국공립,정상,3049.0,서울특별시 종로구 삼청로7길 26 (팔판동),02-723-0155,02-723-0155,3,68,0,7,8,32,17,37.58400574,126.9804875,미운영,http://cafe.naver.com/samchung1004,1999-09-01,,,
서울특별시,종로구,창신어린이집,사회복지법인,정상,3105.0,서울특별시 종로구 창신5길 22 (창신동),02-743-6302,02-743-6302,4,300,1,8,8,77,27,37.57360468,127.0120168,미운영,http://changsin.ukid.kr,1978-12-01,,,
서울특별시,종로구,아동회관어린이집,국공립,정상,3094.0,서울특별시 종로구 지봉로13길 14 아동회관어린이집,02-763-6038,050-5845-6038,6,215,1,16,10,65,37,37.57830726,127.0118098,미운영,,1988-10-01,,,
서울특별시,종로구,부암어린이집,국공립,정상,3019.0,서울특별시 종로구 세검정로6다길 10-7 ,02-396-6226,02-396-6227,5,302,3,10,26,92,83,37.60152236,126.9630733,미운영,https://buarm.kidsnote.ac,1998-07-29,,,
서울특별시,종로구,낙산어린이집,국공립,정상,3091.0,서울특별시 종로구 창신길 210-11 낙산어린이집 (창신동),02-765-1268,02-765-1268,5,301,1,13,10,52,17,37.57952972,127.0101667,미운영,http://children.seoul.go.kr,1981-10-13,,,
서울특별시,종로구,한빛어린이집,국공립,정상,3112.0,서울특별시 종로구 종로65길 10 (숭인동),02-763-6825,02-763-6825,4,119,1,7,8,44,16,37.57485743,127.0199441,미운영,,1993-03-02,,,
서울특별시,종로구,세종마을어린이집,국공립,정상,3034.0,서울특별시 종로구 옥인길 89 (옥인동),02-732-3070,02-732-3072,4,109,1,8,17,50,44,37.58195218,126.9639188,미운영,http://cafe.daum.net/loveohkin,1987-10-20,,,
서울특별시,종로구,조은어린이집,국공립,정상,3109.0,서울특별시 종로구 지봉로12가길 35 (숭인동),02-763-7800,02-763-7800,6,182,1,12,15,49,25,37.57564181,127.0169677,미운영,http://club.cyworld.com/clubV1/Home.cy/51956107,1991-07-12,,,
서울특별시,종로구,누상어린이집,국공립,정상,3037.0,서울특별시 종로구 옥인길 23-4 (누상동),02-738-6711,02-2138-0114,5,117,0,9,10,49,20,37.58079240057926,126.9671957747272,미운영,,1982-08-02,,,
서울특별시,종로구,무악어린이집,국공립,정상,3024.0,서울특별시 종로구 통일로18길 64 (무악동),02-736-8003,050-5899-8009,7,279,1,16,12,96,38,37.57607379,126.9603255,운영,https://mooac.kidsnote.ac/home/main,1981-10-10,,,
서울특별시,종로구,은행나무어린이집,국공립,정상,3091.0,서울특별시 종로구 낙산5길 33 (창신동),02-744-5420,--,9,675,1,32,13,97,34,37.57895144,127.010942,미운영,,1991-03-02,,,
서울특별시,종로구,가회어린이집,국공립,정상,3056.0,서울특별시 종로구 북촌로12길 12-2 가회어린이집 (가회동),02-3673-2085,02-3673-5797,5,105,1,8,8,39,20,37.58180502,126.9858807,미운영,http:// cafe.naver.com/ gh2085,1995-06-23,,,
서울특별시,종로구,상록수어린이집,국공립,정상,3166.0,서울특별시 종로구 송월1길 73-7 상록수어린이집,02-738-1773,02-725-3447,8,300,1,22,17,112,68,37.5727619906,126.9646047637,미운영,http://cafe.daum.net/sangroksukids,1983-09-01,,,
서울특별시,종로구,혜화어린이집,국공립,정상,3084.0,서울특별시 종로구 대학로14길 34 ,02-742-2694,02-744-2694,5,179,1,22,12,64,44,37.58477571854032,127.0025360774734,미운영,,1982-12-28,,,
서울특별시,종로구,인왕어린이집,국공립,정상,3024.0,서울특별시 종로구 통일로18길 9 인왕산 아이파크단지내,02-738-8577,02-738-8538,5,377,3,12,11,79,37,37.57705710065089,126.95731990254116,미운영,https://iwec8577.kidsnote.ac,1982-05-19,,,
서울특별시,종로구,청운어린이집,국공립,정상,3031.0,서울특별시 종로구 자하문로35길 21 ,02-730-9261,02-736-9260,5,230,0,7,13,71,48,37.58408282,126.9705784,미운영,http://chungunkids.kr,1983-10-01,,,
서울특별시,종로구,사직어린이집,국공립,정상,3039.0,서울특별시 종로구 필운대로1길 16-8 ,02-720-0798,02-720-0797,6,316,1,18,12,101,33,37.57809877,126.9686864,미운영,,1996-10-02,,,
서울특별시,종로구,종로구청직장어린이집,직장,정상,3152.0,서울특별시 종로구 종로1길 36 대림빌딩,02-720-5852,02-725-5852,3,100,0,16,10,35,25,37.5734646273137,126.97914844618096,미운영,http://www.puruni.com/jr,1998-03-02,,,
서울특별시,종로구,숭인어린이집,국공립,정상,3108.0,서울특별시 종로구 지봉로 86 (숭인동),02-743-7527,02-743-7528,4,329,1,9,12,52,44,37.57781735,127.0156145,미운영,,1998-03-16,,,
서울특별시,종로구,초동어린이집,법인·단체등,정상,3139.0,서울특별시 종로구 돈화문로5가길 23 (돈의동),02-765-6205,02-765-6202,5,156,0,8,7,49,16,37.57174148,126.9912585,미운영,chodong.or.kr,1996-03-26,,,
서울특별시,종로구,명륜어린이집,국공립,정상,3065.0,서울특별시 종로구 성균관로13길 66 (명륜1가),02-742-8436,02-743-3757,8,318,1,20,24,90,84,37.59133111,126.9949822,운영,https://mrec8436.kidsnote.ac,1984-11-30,,,
서울특별시,종로구,창신제일어린이집,국공립,정상,3089.0,서울특별시 종로구 낙산성곽동길 69 창신동,02-3675-1084,02-762-9987,4,110,1,8,7,39,16,37.57568463,127.0096935,미운영,,2014-02-01,,,
서울특별시,종로구,종교교회어린이집,민간,정상,3173.0,서울특별시 종로구 사직로8길 48 종교교회내 1층 (도렴동),02-6322-2190,--,4,159,1,8,12,41,30,37.57375117,126.973844,미운영,www.chongkyokids.com,2001-10-22,,,
서울특별시,종로구,엄마품어린이집,가정,정상,3010.0,"서울특별시 종로구 평창문화로 172 102동 106호(평창동, 삼성아파트)",02-379-1317,02-379-1347,3,84,1,4,3,19,4,37.61035089,126.9744434,미운영,,2006-05-18,,,
서울특별시,종로구,다솔 방과후교실,민간,정상,3180.0,서울특별시 종로구 통일로8길 16 (송월동),02-722-5011,02-722-5011,3,408,0,5,7,39,39,37.56926643,126.9654484,운영,,2006-03-13,,,
서울특별시,종로구,서울청사한빛어린이집,직장,정상,3171.0,서울특별시 종로구 세종대로 209 서울청사관리소,02-735-6400,02-735-8819,17,1418,4,54,34,249,82,37.57499554246283,126.97514063547618,미운영,https://hanbit.kidsnote.ac,2005-03-15,,,
서울특별시,종로구,서울대학교병원어린이집,직장,정상,3085.0,서울특별시 종로구 동숭3길 40 ,02-2072-2260,02-2072-4094,4,149,1,22,18,54,34,37.57946548,126.9990227,운영,,1995-03-01,,,
서울특별시,종로구,안동어린이집,민간,정상,3055.0,서울특별시 종로구 북촌로7길 3-10 ,02-743-9307,02-766-9307,5,185,1,7,8,49,26,37.5798836,126.9843648,미운영,,1991-12-07,,,
서울특별시,종로구,SK행복어린이집,직장,정상,3188.0,서울특별시 종로구 종로 26 SK서린동빌딩 2층,02-2121-1611,02-2121-1610,7,364,1,16,30,99,91,37.56967307,126.980289,미운영,www.puruni.com/skseoul,2007-09-14,,,
서울특별시,종로구,KT혜화 어린이집,직장,정상,3082.0,서울특별시 종로구 대학로 65 (연건동),02-3676-9300,02-3676-9301,4,198,0,5,6,49,8,37.57700048,127.0042702,미운영,,2008-02-28,,,
