번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,인허가번호,상세영업상태명,lat,long
3736,SH공사공덕2차삼성아파트 경로당,서울특별시 마포구 공덕동 ,,20150203,운영중,,,,,,,36.0,,,3130000201800008,운영,37.550174347382,126.960034513244
3733,다솜경로당,서울특별시 마포구 성산동 ,,20151201,운영중,,,,,,,20.0,,,3130000201800005,운영,37.5628827605388,126.909284812172
3729,마포자이2차아파트 경로당,서울특별시 마포구 대흥동 ,,20141202,운영중,,,,,,,32.0,,,3130000201800015,운영,37.5498936438387,126.943403941965
3727,마곡엠밸리10단지아파트경로당,서울특별시 강서구 마곡동 ,,20180326,운영중,,,,,,,,,,3150000201800004,운영,37.5747859514344,126.830205192607
3726,마곡엠밸리1단지 경로당,서울특별시 강서구 마곡동 ,,20160930,운영중,,,,,,,24.0,,,3150000201600018,운영,37.5747859514344,126.830205192607
3725,해태경로당,서울특별시 강서구 화곡동 ,,20150529,운영중,,,,,,,34.0,,,3150000201500019,운영,37.5362848031695,126.848952280488
3724,마곡엠밸리5단지(아)경로당,서울특별시 강서구 마곡동 ,,20150528,운영중,,,,,,,24.0,,,3150000201500018,운영,37.5747859514344,126.830205192607
3722,윗반고개마을경로당,서울특별시 강남구 세곡동 ,,20151208,운영중,,,,,,,0.0,,44.0,3220000201500020,운영,37.4644437055763,127.106760267266
3721,천삼 경로당,서울특별시 강동구 천호동 ,,20030513,운영중,,,,,,,,,,3240000201600002,운영,37.542221863425,127.12866892591
3720,공덕자이제2경로당,서울특별시 마포구 아현동 ,,20160620,운영중,,,,,,,0.0,,,3130000201600008,운영,37.5544832516732,126.955903701632
3719,신정숲속마을아파트,서울특별시 양천구 신정동 ,,20170510,운영중,,,,,,,,,,3140000201700009,운영,37.5185526780281,126.854354325392
3718,대원칸타빌1차아파트,서울특별시 양천구 목동 ,,20170531,운영중,,,,,,,,,,3140000201700008,운영,37.5304364108361,126.870989288343
3717,느티나무경로당,서울특별시 마포구 연남동 ,,20140410,운영중,,,,,,,0.0,,,3130000201600005,운영,37.5644776141887,126.922023205508
3716,가좌행복경로당,서울특별시 마포구 성산동 ,,20170824,운영중,,,,,,,47.0,,,3130000201700009,운영,37.5628827605388,126.909284812172
3714,구립 천호문구거리 경로당,서울특별시 강동구 천호동 ,,20161222,운영중,,,,,,,34.0,,,3240000201600008,운영,37.542221863425,127.12866892591
3713,텐즈힐 행복 경로당,서울특별시 성동구 하왕십리동 ,,20160912,운영중,,,,,,,,,,3030000201600009,운영,37.5619122139371,127.028703243306
3712,텐즈힐 열린 경로당,서울특별시 성동구 하왕십리동 ,,20160912,운영중,,,,,,,,,,3030000201600008,운영,37.5619122139371,127.028703243306
3710,선린공원 어르신사랑방,서울특별시 강동구 성내동 ,,20180219,운영중,,,,,,,,,,3240000201800004,운영,37.5292748071427,127.130026914568
3709,둔촌2동 어르신사랑방,서울특별시 강동구 둔촌동 102호,,20180228,운영중,,,,,,,,,,3240000201800003,운영,37.5277495133793,127.147357130904
3708,DMC파크뷰자이1단지경로당,서울특별시 서대문구 남가좌동 ,,20160927,운영중,,,,,,,93.0,,,3120000201600015,운영,37.5755473825403,126.919548350676
3707,마포 래미안 웰스트림 경로당,서울특별시 마포구 현석동 ,,20170110,운영중,,,,,,,55.0,,,3130000201700001,운영,37.5421619566647,126.934289634391
3706,이편한세상보문,서울특별시 성북구 보문동3가 이편한세상보문 101동 ,,20150701,운영중,,,,,,,,,,3070000201700006,운영,37.5830681224667,127.018260019944
3704,올림픽파크한양수자인경로당,서울특별시 강동구 성내동 ,,20171026,운영중,,,,,,,,,,3240000201700012,운영,37.5292748071427,127.130026914568
3702,강남한양수자인(아)경로당,서울특별시 강남구 자곡동 ,,20150713,운영중,,,,,,,0.0,,85.0,3220000201500011,운영,37.473390398797,127.092180565565
3700,신동방경로당,서울특별시 성북구 장위동 ,,20180213,운영중,,,,,,,,,,3070000201800002,운영,37.6170568426304,127.04956549458
3699,상암카이저팰리스클래식경로당,서울특별시 마포구 상암동 ,,20111209,운영중,,,,,,,57.0,,,3130000201800001,운영,37.5783209050878,126.894689433213
3698,힐스테이트백련산4차아파트경로당,서울특별시 은평구 응암동 ,,20171213,운영중,,,,,,,,,,3110000201700017,운영,37.5963272964127,126.924109745075
3697,에스티움2경로당,서울특별시 영등포구 신길동 ,,20180119,운영중,,,,,,,,,,3180000201800005,운영,37.5041663202169,126.91406973946
3696,에스티움경로당,서울특별시 영등포구 신길동 ,,20180119,운영중,,,,,,,,,,3180000201800004,운영,37.5041663202169,126.91406973946
3694,강서쌍용예가아파트경로당,서울특별시 강서구 염창동 ,,20170216,운영중,,,,,,,30.0,,,3150000201700002,운영,37.5537362431352,126.870985348962
3691,신정뉴타운 두산위브아파트경로당,서울특별시 양천구 신월동 ,,20161027,운영중,,,,,,,40.0,,,3140000201700002,운영,37.5328158189362,126.831535864977
3690,홍남경로당,서울특별시 서대문구 홍은동 ,,20161226,운영중,,,,,,,54.0,,,3120000201600019,운영,37.5908908122789,126.933218715152
3689,홍제성원아파트경로당,서울특별시 서대문구 홍제동 ,,20170801,운영중,,,,,,,34.0,,,3120000201700004,운영,37.5858458009441,126.948725215733
3688,라이프씨티아파트경로당,서울특별시 은평구 갈현동 ,,20141223,운영중,,,,,,,,,,3110000201700003,운영,37.6198652831794,126.914367182376
3683,래미안 신반포팰리스 경로당,서울특별시 서초구 잠원동 ,,20170102,운영중,,,,,,,36.0,,,3210000201700001,운영,37.5149186880221,127.014102820234
3681,래미안대치팰리스1단지 경로당,서울특별시 강남구 대치동 ,,20170417,운영중,,,,,,,77.0,,,3220000201700006,운영,37.4932421505467,127.056693501258
3680,래미안대치팰리스2단지경로당,서울특별시 강남구 대치동 ,,20170206,운영중,,,,,,,38.0,,,3220000201700004,운영,37.4932421505467,127.056693501258
3677,증산제2경로당,서울특별시 은평구 증산동 ,,20170516,운영중,,,,,,,,,,3110000201700008,운영,37.5843030609175,126.907039772766
3676,공덕자이경로당,서울특별시 마포구 아현동 ,,20150722,운영중,,,,,,,54.0,,,3130000201700007,운영,37.5544832516732,126.955903701632
3674,구립대신경로당,서울특별시 영등포구 신길동 ,,20170517,운영중,,,,,,,,,,3180000201700003,운영,37.5041663202169,126.91406973946
3673,래미안프레비뉴경로당,서울특별시 영등포구 신길동 ,,20170517,운영중,,,,,,,,,,3180000201700002,운영,37.5041663202169,126.91406973946
3672,래미안힐스테이트고덕(여)경로당,서울특별시 강동구 고덕동 ,,20170927,운영중,,,,,,,,,,3240000201700011,운영,37.5641661222506,127.155939319817
3671,래미안힐스테이트고덕(남)경로당,서울특별시 강동구 고덕동 ,,20170927,운영중,,,,,,,,,,3240000201700010,운영,37.5641661222506,127.155939319817
3668,아크로리버파크 경로당,서울특별시 서초구 반포동 ,,20170420,운영중,,,,,,,26.0,,,3210000201700004,운영,37.5051446767402,127.013359062646
3667,구립경원경로당,서울특별시 영등포구 문래동3가 ,,20170901,운영중,,,,,,,,,,3180000201700005,운영,37.5165971793935,126.896816819326
3662,샘마을 경로당,서울특별시 서초구 내곡동 1-2125 ,,20180213,운영중,,,,,,,,,,3210000201800001,운영,37.4581607965407,127.071480382518
3660,불광롯데캐슬아파트경로당,서울특별시 은평구 불광동 ,,20140522,운영중,,,,,,,,,,3110000201700004,운영,37.6176523268171,126.937059476367
3659,마곡힐스테이트경로당,서울특별시 강서구 마곡동 ,,20160921,운영중,,,,,,,50.0,,,3150000201600017,운영,37.5747859514344,126.830205192607
3658,이수힐스테이트아파트 경로당,서울특별시 동작구 동작동 ,,20160502,운영중,,,,,,,0.0,,,3190000201600012,,37.4992139256223,126.973876571542
