연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표,lat,long
1,1116000,관악소방서,소방서, ,1100000,43,195785.50152,541613.179889,38.37194276,126.95435495
11,1115000,서초소방서,소방서, ,1100000,53,199288.375854,544328.95152,38.39642142,126.99395244
16,1119000,구로소방서,소방서, ,1100000,58,188078.71896,544268.360247,38.39579884,126.86718667
33,1113000,마포소방서,소방서, ,1100000,75,194095.41467,549987.080533,38.44738267,126.93518124
44,1122000,중랑소방서,소방서, ,1100000,118,208374.710284,557311.397392,38.51335507,127.09685538
50,1107000,동대문소방서,소방서, ,1100000,124,205889.340299,551610.215893,38.46200716,127.06865926
61,1117000,강서소방서,소방서, ,1100000,94,187654.5746,550953.980786,38.45603065,126.86227789
73,1112000,은평소방서,소방서, ,1100000,106,192919.608208,558814.957158,38.52691281,126.92179003
81,1120000,송파소방서,소방서, ,1100000,114,212608.797541,544491.365081,38.39779899,127.14459199
87,1104000,중부소방서,소방서, ,1100000,129,201360.354374,551703.857707,38.46286869,127.01739753
97,1109000,성북소방서,소방서, ,1100000,139,202804.149036,555873.759988,38.50043596,127.03375545
102,1123000,서대문소방서,소방서, ,1100000,144,194337.769825,552637.43659,38.47126379,126.93790338
103,1106000,용산소방서,소방서, ,1100000,145,197483.52718,548286.905824,38.43207957,126.97352836
106,1102000,동작소방서,소방서, ,1100000,148,192720.098964,543910.662103,38.39262419,126.91967778
114,1121000,양천소방서,소방서, ,1100000,156,188708.935882,547859.288574,38.42816108,126.87425841
125,1127000,성동소방서,소방서, ,1100000,167,203491.170697,550460.99593,38.45166493,127.04150981
128,1105000,광진소방서,소방서, ,1100000,170,207312.919673,549483.162122,38.44283228,127.08475102
137,1125000,강북소방서,소방서, ,1100000,2,203372.13415,559271.253735,38.53104506,127.04020322
142,1103000,종로소방서,소방서, ,1100000,7,198136.562279,552591.178035,38.47086252,126.98090594
150,1108000,영등포소방서,소방서, ,1100000,15,191526.842142,546560.60757,38.41649013,126.90615375
153,1114000,강남소방서,소방서, ,1100000,18,205904.581,545647.847,38.40828613,127.06878384
161,1118000,강동소방서,소방서, ,1100000,26,211043.487669,547760.417187,38.42727325,127.12693915
175,1111000,노원소방서,소방서, ,1100000,40,206278.710106,559835.894278,38.53611713,127.07313692
176,1110000,도봉소방서,소방서, ,1100000,41,203797.4045,562711.422384,38.56203874,127.04503903
