,연번,자치구명,주유소명,주소,lat,long
0,1,용산구,현대오일뱅크(주) 직영소월길주유소,서울특별시 용산구 소월로66,37.5544085670544,126.977734582566
1,2,용산구,선익상사(주) 동자동주유소,서울특별시 용산구 한강대로 104길 6,37.5502005044121,126.972417738531
2,3,용산구,현대오일뱅크㈜ 직영갈월동주유소,서울특별시 용산구 한강대로 322,37.5470289447515,126.972228457829
3,4,용산구,서계주유소,서울특별시 용산구 청파로 367,37.5523662854224,126.968993700509
4,5,용산구,㈜영원에너지 풍기주유소,서울특별시 용산구 원효로178,37.5355890312127,126.962708973419
5,6,용산구,㈜신태성주유소,서울특별시 용산구 원효로 147,37.5347149768812,126.959447976925
6,7,용산구,현대오일뱅크㈜ 직영강변주유소,서울특별시 용산구 원효로 9,37.5347144223748,126.945724077622
7,8,용산구,한국석유공업㈜ 한석주유소,서울특별시 용산구 이촌로 164,37.5215921464571,126.965360511446
8,9,용산구,(주)중앙에너비스 한남지점,서울특별시 용산구 한남대로 21길 4,37.534722862601,127.006107972676
9,10,용산구,한남제3한강주유소 주식회사,서울특별시 용산구 한남대로 45,37.5328793337278,127.007511314705
10,11,용산구,주식회사 중앙에너비스 에너비스,서울특별시 용산구 한남대로 82,37.5360397637014,127.006137723817
11,12,용산구,현대오일뱅크㈜ 직영한남동주유소,서울특별시 용산구 한남대로 204,37.5460727912721,127.002896422503
12,13,용산구,㈜남경주유소,서울특별시 용산구 녹사평대로 11길 24,37.5222568335822,126.993181838109
13,14,성동구,금호주유소,서울특별시 성동구 금호로 39(금호동4가 187-2),37.5470409999369,127.025032153735
14,15,성동구,세원주유소,서울특별시 성동구 광나루로 184(성수동1가 13-11),37.5508602334419,127.050436462226
15,16,성동구,SK에너지㈜ 성수주유소,서울특별시 성동구 뚝섬로 352(성수동1가 33-96),37.5400047737799,127.049900172954
16,17,성동구,KH에너지㈜ 직영 성수만세주유소,서울특별시 성동구 왕십리로 109(성수동1가 656-1208),37.5474976267809,127.044350756633
17,18,성동구,현대오일뱅크㈜ 직영 효진주유소,서울특별시 성동구 동일로 129(성수동2가 19-1),37.5441143795743,127.064645129354
18,19,성동구,지에스칼텍스㈜ 도루코주유소,서울특별시 성동구 아차산로 180(성수동2가 19-14),37.5420274264746,127.063423424356
19,20,성동구,협진제유산업㈜ 동일주유소,서울특별시 성동구 광나루로 254(성수동2가 289-2),37.5485761967423,127.057911486572
20,21,성동구,아이콘주유소,서울특별시 성동구 고산자로 273(도선동 2-4),37.5641283119055,127.035920071533
21,22,성동구,㈜ 서울에너지,서울특별시 성동구 천호대로 324(용답동 5-4),37.5642339425388,127.055593318567
22,23,성동구,삼우주유소,서울특별시 성동구 천호대로 392(용답동 229-5),37.5614150648805,127.062310521717
23,24,성동구,SK에너지㈜ 군자동주유소,서울특별시 성동구 천호대로 446(용답동 236-1),37.560534180112,127.068301931583
24,25,성동구,KLP제2주유소,서울특별시 성동구 동일로 249(송정동 83-3),37.5540124113316,127.070433103392
25,26,성동구,경진주유소,서울특별시 성동구 고산자로 348(마장동 522-6),37.570523648373,127.038003801303
26,27,성동구,정호주유소,서울특별시 성동구 고산자로 307(마장동 573-1),37.5672020506377,127.036537420429
27,28,성동구,현대오일뱅크㈜ 성동셀프주유소,서울특별시 성동구 마장로 311(마장동 771),37.5670168870809,127.04372064792
28,29,성동구,옥수주유소,서울특별시 성동구 독서당로 168(옥수동 449-5),37.5408496346983,127.011382906693
29,30,성동구,청계로주유소,서울특별시 성동구 청계천로 454(하왕십리동 291-9),37.5700413114581,127.027391824017
30,31,광진구,삼호주유소,서울특별시 광진구 천호대로 809(광장동),37.545722198887,127.103717248078
31,32,광진구,㈜창원씨더블유,서울특별시 광진구 광나루로 460(화양동),37.5451191114666,127.080439646223
33,34,광진구,중원주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 동일로 398(중곡동),37.5658624220462,127.077738277087
35,36,광진구,현대오일뱅크㈜직영 장호셀프주유소,서울특별시 광진구 자양로 37(자양동),37.5313201772554,127.085854828263
36,37,광진구,용마주유소,서울특별시 광진구 용마산로 68(중곡동),37.5597341174273,127.087883799213
37,38,광진구,㈜장수주유소,서울특별시 광진구 동일로 266(군자동),37.5549838384561,127.071529641931
