인구 (명),면적 (㎢),인구밀도 (명/㎢),주소
9355,1.23,7606,종로구 사직동
2642,1.49,1773,종로구 삼청동
9536,2.27,4201,종로구 부암동
17858,8.87,2013,종로구 평창동
8052,0.36,22367,종로구 무악동
9994,0.35,28554,종로구 교남동
4065,0.54,7528,종로구 가회동
8700,2.35,3702,종로구 종로1.2.3.4가동
5817,0.60,9695,종로구 종로5.6가동
7631,0.78,9783,종로구 이화동
5383,0.31,17365,종로구 창신1동
8796,0.26,33831,종로구 창신2동
6606,0.23,28722,종로구 창신3동
6057,0.23,26335,종로구 숭인1동
10509,0.35,30026,종로구 숭인2동
11818,2.57,4598,종로구 청운효자동
19392,1.12,17314,종로구 혜화동
3578,0.95,3766,중구 소공동
5222,0.84,6217,중구 회현동
3638,0.99,3675,중구 명동
4816,1.14,4225,중구 필동
5326,1.36,3916,중구 장충동
6682,0.74,9030,중구 광희동
1912,0.60,3187,중구 을지로동
10513,0.39,26956,중구 신당5동
13459,0.33,40785,중구 황학동
12338,0.48,25704,중구 중림동
9087,0.55,16522,중구 신당동
13954,0.51,27361,중구 다산동
16610,0.48,34604,중구 약수동
13451,0.34,39562,중구 청구동
10199,0.26,39227,중구 동화동
16812,0.86,19549,용산구 후암동
10333,1.96,5272,용산구 용산2가동
7552,1.19,6346,용산구 남영동
13795,0.71,19430,용산구 원효로2동
10888,0.44,24745,용산구 효창동
11664,0.28,41657,용산구 용문동
25707,2.86,8988,용산구 이촌1동
8094,1.22,6634,용산구 이촌2동
7947,0.57,13942,용산구 이태원1동
10427,0.86,12124,용산구 이태원2동
13458,2.80,4806,용산구 서빙고동
14060,0.71,19803,용산구 보광동
19833,0.90,22037,용산구 청파동
17774,0.59,30125,용산구 원효로1동
22886,2.90,7892,용산구 한강로동
22054,3.01,7327,용산구 한남동
16688,0.41,40702,성동구 왕십리2동
22706,1.05,21625,성동구 마장동
14082,1.10,12802,성동구 사근동
13996,0.59,23722,성동구 행당1동
23148,0.42,55114,성동구 행당2동
15100,0.57,26491,성동구 응봉동
15137,0.46,32907,성동구 금호1가동
14228,0.84,16938,성동구 금호4가동
16407,1.97,8328,성동구 성수1가1동
12322,0.89,13845,성동구 성수1가2동
15716,1.17,13432,성동구 성수2가1동
10520,1.03,10214,성동구 성수2가3동
10464,0.75,13952,성동구 송정동
12551,2.31,5433,성동구 용답동
26903,0.72,37365,성동구 왕십리도선동
22423,0.64,35036,성동구 금호2.3가동
25843,1.94,13321,성동구 옥수동
27082,1.16,23347,광진구 화양동
21524,0.74,29086,광진구 군자동
15663,0.62,25263,광진구 중곡1동
21336,0.55,38793,광진구 중곡2동
16177,0.60,26962,광진구 중곡3동
28405,2.32,12244,광진구 중곡4동
11561,1.10,10510,광진구 능동
24049,0.56,42945,광진구 구의1동
26573,1.39,19117,광진구 구의2동
28440,1.02,27882,광진구 구의3동
34362,2.39,14377,광진구 광장동
22709,0.57,39840,광진구 자양1동
24253,1.68,14436,광진구 자양2동
27858,1.20,23215,광진구 자양3동
21260,1.16,18328,광진구 자양4동
13536,0.76,17811,동대문구 회기동
16339,0.63,25935,동대문구 휘경1동
24666,1.05,23491,동대문구 휘경2동
19094,1.20,15912,동대문구 청량리동
36137,1.61,22445,동대문구 용신동
26484,1.18,22444,동대문구 제기동
29220,1.19,24555,동대문구 전농1동
18629,0.86,21662,동대문구 전농2동
28055,0.85,33006,동대문구 답십리2동
38677,1.25,30942,동대문구 장안1동
32685,1.09,29986,동대문구 장안2동
21366,1.04,20544,동대문구 이문1동
20183,0.69,29251,동대문구 이문2동
28530,0.81,35222,동대문구 답십리1동
24206,0.77,31436,중랑구 면목2동
18746,0.87,21547,중랑구 면목4동
14836,0.70,21194,중랑구 면목5동
21798,1.20,18165,중랑구 면목7동
23714,0.88,26948,중랑구 상봉1동
20612,0.65,31711,중랑구 상봉2동
19293,0.64,30145,중랑구 중화1동
24926,1.01,24679,중랑구 중화2동
34344,1.20,28620,중랑구 묵1동
18624,0.67,27797,중랑구 묵2동
16303,0.92,17721,중랑구 망우3동
38205,2.56,14924,중랑구 신내1동
20155,0.93,21672,중랑구 신내2동
33856,0.84,40305,중랑구 면목본동
24617,1.63,15102,중랑구 면목3.8동
35905,3.03,11850,중랑구 망우본동
14474,0.49,29539,성북구 돈암1동
23657,0.48,49285,성북구 돈암2동
17118,1.33,12871,성북구 안암동
16712,0.56,29843,성북구 보문동
18197,0.44,41357,성북구 정릉1동
22911,1.17,19582,성북구 정릉2동
16567,3.71,4465,성북구 정릉3동
24911,3.13,7959,성북구 정릉4동
35000,0.79,44304,성북구 길음1동
21728,0.58,37462,성북구 길음2동
26169,0.81,32307,성북구 월곡1동
19739,1.36,14514,성북구 월곡2동
24082,0.70,34403,성북구 장위1동
13622,0.67,20331,성북구 장위2동
15868,0.65,24412,성북구 장위3동
16889,2.86,5905,성북구 성북동
23044,0.92,25048,성북구 삼선동
15870,0.73,21740,성북구 동선동
40111,1.46,27473,성북구 종암동
35315,1.73,20413,성북구 석관동
