연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표,lat,long
2,1114103,영동119안전센터,안전센터/구조대, ,1114000,44,203265.811458,546962.399786,38.4201434,127.03894385
3,1116401,관악119안전센터,안전센터/구조대, ,1116000,45,195784.878412,541621.210326,38.37201511,126.95434786
4,1119106,시흥119안전센터,안전센터/구조대, ,1119000,46,191196.721148,538802.571413,38.34658657,126.90251224
5,1115102,방배119안전센터,안전센터/구조대, ,1115000,47,198957.096,541787.001,38.37351792,126.99020969
6,1115105,잠원119안전센터,안전센터/구조대, ,1115000,48,201028.564,544400.945,38.39706978,127.01363185
7,1116402,구조대,안전센터/구조대, ,1116000,49,195787.34536,541603.890006,38.37185906,126.95437585
8,1116104,난곡119안전센터,안전센터/구조대, ,1116000,50,192577.709214,541810.021306,38.37369613,126.91808879
9,1119105,독산119안전센터,안전센터/구조대, ,1119000,51,190995.083363,540948.686163,38.36592136,126.90020728
10,1103106,신영119안전센터,안전센터/구조대, ,1103000,52,196541.317287,556245.859267,38.50378631,126.96283056
12,1108102,여의도119안전센터,안전센터/구조대, ,1108000,54,193636.43027,546419.55176,38.41523617,126.93001809
13,1106105,서빙고119안전센터,안전센터/구조대, ,1106000,55,199560.747414,546816.073163,38.41883067,126.99703113
14,1115401,반포119안전센터,안전센터/구조대, ,1115000,56,199278.084714,544329.038,38.39642219,126.99383606
15,1115402,구조대,안전센터/구조대, ,1115000,57,199298.791236,544328.239766,38.39641501,126.99407022
17,1119102,수궁119안전센터,안전센터/구조대, ,1119000,59,184928.501118,544104.905711,38.39428008,126.83156551
18,1119401,고일119안전센터,안전센터/구조대, ,1119000,60,188088.240258,544276.083358,38.39586854,126.86729422
19,1119103,고척119안전센터,안전센터/구조대, ,1119000,61,187170.299497,545059.572936,38.40291552,126.85689993
20,1119107,신도림119안전센터,안전센터/구조대, ,1119000,62,189498.033217,545329.641595,38.40537825,126.88322199
21,1108104,대림119안전센터,안전센터/구조대, ,1108000,63,191515.084635,544212.25613,38.39533129,126.90604784
22,1119104,구로119안전센터,안전센터/구조대, ,1119000,64,189614.793247,543865.664911,38.39218908,126.88456321
23,1119402,구조대,안전센터/구조대, ,1119000,65,188070.360402,544260.2451,38.39572561,126.86709228
24,1112108,진관119안전센터,안전센터/구조대, ,1112000,66,192920.226024,558822.396153,38.52697984,126.92179695
25,1121103,목동119안전센터,안전센터/구조대, ,1121000,67,189711.097195,549259.306221,38.44078694,126.88557675
26,1121102,신정119안전센터,안전센터/구조대, ,1121000,68,186823.715234,546934.949194,38.4198078,126.85294658
27,1115106,우면119안전센터,안전센터/구조대, ,1115000,69,202109.104433,542354.506176,38.37862938,127.02584562
28,1115103,양재119안전센터,안전센터/구조대, ,1115000,70,203613.476013,541114.323624,38.36745056,127.04284803
29,1114104,역삼119안전센터,안전센터/구조대, ,1114000,71,203753.15647,544189.667732,38.39515911,127.0444427
30,1114106,개포119안전센터,안전센터/구조대, ,1114000,72,204412.66247,541694.956875,38.37267865,127.05188579
31,1114105,수서119안전센터,안전센터/구조대, ,1114000,73,208212.231587,542833.343865,38.38290967,127.09485312
32,1120104,잠실119안전센터,안전센터/구조대, ,1120000,74,208302.374,545320.129,38.40531493,127.09590038
34,1113102,신수119안전센터,안전센터/구조대, ,1113000,76,194096.039456,549994.811236,38.44745232,126.93518825
35,1123103,홍은119안전센터,안전센터/구조대, ,1123000,77,195326.174,555461.456,38.49671354,126.94907413
36,1113201,구조대,안전센터/구조대, ,1113000,78,194095.11878,549980.752357,38.44732565,126.93517795
37,1113104,서교119안전센터,안전센터/구조대, ,1113000,79,192535.006676,550091.368532,38.44831099,126.91752197
38,1112106,역촌119안전센터,안전센터/구조대, ,1112000,80,192111.068864,556161.096981,38.50299529,126.91265914
39,1123102,북가좌119안전센터,안전센터/구조대, ,1123000,81,192315.279035,553702.713182,38.48084721,126.91499758
40,1112107,수색119안전센터,안전센터/구조대, ,1112000,82,190277.697367,553969.308159,38.48322995,126.89192563
41,1103104,신교119안전센터,안전센터/구조대, ,1103000,83,197355.385811,553858.943221,38.4822831,126.97205847
42,1120401,마천119안전센터,안전센터/구조대, ,1120000,116,212603.372133,544480.378632,38.39770007,127.14453045
43,1120402,구조대,안전센터/구조대, ,1120000,117,212614.459192,544505.431922,38.39792565,127.14465626
45,1122101,신내119안전센터,안전센터/구조대, ,1122000,119,208386.844717,557306.933865,38.51331474,127.09699277
46,1122201,구조대,안전센터/구조대, ,1122000,120,208363.812014,557316.991744,38.51340557,127.09673201
47,1118105,길동119안전센터,안전센터/구조대, ,1118000,121,212759.620217,549059.38613,38.43895479,127.14637691
48,1107104,용두119안전센터,안전센터/구조대, ,1107000,122,202803.9241,553146.122419,38.47586016,127.03374246
49,1103109,숭인119안전센터,안전센터/구조대, ,1103000,123,201923.625434,553134.912754,38.47576142,127.02377681
51,1106103,이태원119안전센터,안전센터/구조대, ,1106000,84,199630.19,548320.599,38.4323865,126.99781591
52,1103201,구조대,안전센터/구조대, ,1103000,85,198137.489279,552586.338035,38.47081892,126.98091645
53,1123104,북아현119안전센터,안전센터/구조대, ,1123000,86,196090.627492,551239.350965,38.45867621,126.95775323
54,1100106,회현119안전센터,안전센터/구조대, ,1100000,87,198527.946267,550963.424019,38.45619723,126.98533966
55,1104103,충무로119안전센터,안전센터/구조대, ,1104000,88,199377.795682,551402.010068,38.46014984,126.99495767
56,1106104,후암119안전센터,안전센터/구조대, ,1106000,89,198043.853832,549932.898804,38.44691132,126.97986357
57,1126306,여의도수난구조대,안전센터/구조대, ,1108000,90,192982.685318,548340.968633,38.43254342,126.92260487
58,1117103,방화119안전센터,안전센터/구조대, ,1117000,91,183596.698667,553377.373508,38.47780192,126.81629796
59,1117102,화곡119안전센터,안전센터/구조대, ,1117000,92,186322.63379,549360.274919,38.44165264,126.84723309
