학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000008359,구룡중학교,중학교,1989-04-18,공립,본교,운영,서울특별시 강남구 개포동 650,서울특별시 강남구 선릉로 103,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.48615258,127.056121,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012013,마포고등학교,고등학교,1953-07-01,사립,본교,운영,서울특별시 강서구 등촌동 82-1,서울특별시 강서구 화곡로 403,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2023-11-15,37.55998867,126.8531334,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002316,서울대림초등학교,초등학교,1974-03-01,공립,본교,운영,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2023-11-15,37.5006148,126.9248833,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008213,노원중학교,중학교,1989-03-06,공립,본교,운영,서울특별시 노원구 상계동 743,서울특별시 노원구 동일로213길 26,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.64936114,127.059692,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008130,영락중학교,중학교,1952-06-10,사립,본교,운영,서울특별시 은평구 응암동 226-13,서울특별시 은평구 백련산로 134-6,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.5969603,126.9251334,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011919,경신고등학교,고등학교,1885-05-09,사립,본교,운영,서울특별시 종로구 혜화동 5-119,서울특별시 종로구 혜화로 74,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.59222582,126.999531,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008214,노일중학교,중학교,1995-03-01,공립,본교,운영,서울특별시 노원구 상계동 1044,서울특별시 노원구 동일로231길 24,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.67260103,127.0535508,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008413,경수중학교,중학교,1981-05-04,공립,본교,운영,서울특별시 성동구 성수동2가 268,서울특별시 성동구 뚝섬로13길 14,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.53950904,127.0592712,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002164,서울강일초등학교,초등학교,1994-03-01,공립,본교,운영,서울특별시 강동구 강일동 685,서울특별시 강동구 아리수로98길 24,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2023-11-15,37.56525568,127.1772858,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002379,서울양남초등학교,초등학교,1984-03-01,공립,본교,운영,서울특별시 광진구 자양동 692,서울특별시 광진구 뚝섬로64길 71,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.53112324,127.0892343,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012052,서울고등학교,고등학교,1946-03-05,공립,본교,운영,서울특별시 서초구 서초동 1526-1,서울특별시 서초구 효령로 197,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.48429306,127.0049019,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000013484,세화고등학교,고등학교,1987-03-01,사립,본교,운영,서울특별시 서초구 반포동 753,서울특별시 서초구 신반포로 56-7,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.50199646,126.9942300138,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008424,광남중학교,중학교,1993-05-04,공립,본교,운영,서울특별시 광진구 광장동 554-15,서울특별시 광진구 아차산로70길 17-62,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.54083041,127.1016205,2024-03-22,C738100,청주대학교 지방교육재정연구원
