spot_num,spot_nm,grs80tm_x,grs80tm_y,lat,long,traffic_volume
A-01,성산로(금화터널),195489,452136,37.56568824,126.95154,70215
A-02,사직로(사직터널),196756.776106,452546.638644,37.5693938,126.96571959,75515
A-03,자하문로(자하문터널),197216.855046,454350.990432,37.58565483,126.97085972,7112
A-04,대사관로(삼청터널),198648.893154,455200.108465,37.59330959,126.98688113,10242
A-05,율곡로(안국역),198645.671347,452937.216603,37.57291799,126.98684907,55147
A-06,창경궁로(서울여자대학교),199825.89671,453668.322568,37.57950716,127.00005213,46010
A-07,대학로(한국방송통신대학교),200185.014636,453144.745427,37.57478904,127.00406982,34906
A-08,종로(동묘앞역),201515.783975,452624.900832,37.57010337,127.01895651,38959
A-09,퇴계로(신당역),201850.055284,451769.96985,37.56239871,127.02269382,46649
A-10,동호로(장충체육관),200633.487975,451010.051429,37.55555242,127.00908526,58984
A-11,장충단로(장충단공원),200410,450804,37.55369574,127.00658554,50570
A-12,퇴계로(회현역),197939.908023,450888.928346,37.55445892,126.97895918,33774
A-13,세종대로(서울역),197727.33407,451006.009692,37.55551349,126.97658133,58445
A-14,새문안로(서울역사박물관),197432.421007,452243.292862,37.56666232,126.97327872,8783
A-15,종로(종로3가역),199240.067506,452288.413612,37.56707208,126.99349925,25039
A-16,서소문로(시청역),197596.4694,451463.528762,37.55963603,126.97511623,48610
A-17,세종대로(시청역2),197983.404032,452006.746671,37.56453205,126.97944271,62895
A-18,을지로(을지로3가역),199025.306571,451837.790166,37.56301116,126.99109747,21837
A-19,칠패로(숭례문),197579.482653,451141.212855,37.55673149,126.97492725,19163
A-20,남산1호터널,200375.908853,448730.787276,37.53501329,127.00620325,18881
A-21,남산2호터널,199098.824842,449434.634668,37.54135556,126.99192263,0
A-22,남산3호터널,198985.638133,449446.700998,37.54146418,126.99065691,2269
A-23,소월로(회현역),197913,450842,37.55403597,126.97865836,10413
A-24,소파로(숭의여자대학교),198564,450618,37.55201863,126.98593976,17518
B-01,도봉로(도봉산역),203959,465826,37.68905447,127.04635624,47600
B-02,동일로(의정부IC),204889.526551,465841.155869,37.6891867,127.05678186,98658
B-03,아차산로(워커힐),209697.184721,450264.164859,37.54878182,127.11044888,32256
B-04,망우로(망우리공원),210241.085553,455754.962803,37.59825535,127.11660497,33744
B-05,경춘북로(중랑경찰서),209331.347572,457857.713789,37.61721312,127.10645002,53465
B-06,화랑로(조선왕릉),208764,459019,37.62768314,127.10011276,51450
B-07,북부간선도로(신내IC),209618,457126,37.61061662,127.10964945,145433
B-08,서하남로(서하남IC),213005.890193,446398.999033,37.51391201,127.14738639,105516
B-09,천호대로(상일IC),215469.587229,449773.571726,37.54428466,127.17499469,117694
B-10,올림픽대로(강일IC),213894,452265,37.56675998,127.15742026,205654
B-11,경부고속도로(양재IC),203414,440621,37.46192647,127.04013784,231970
B-12,송파대로(복정역),211162.986746,441076.417571,37.46597134,127.12670834,67504
B-13,밤고개로(세곡동사거리),209531,440360,37.45953304,127.10846762,22714
B-14,분당-수서로(성남시계),210863,441329,37.46825093,127.12336058,118406
B-15,과천대로(남태령역),198992.883246,440448.530816,37.46037784,126.99074971,78555
B-16,양재대로(양재IC),203101,440084,37.45708837,127.03663915,181066
B-17,반포대로(우면산터널),201006.172398,442700.15907,37.48066833,127.01324268,72622
B-18,시흥대로(석수역),191458.931086,437292.624732,37.43190075,126.90662452,83676
B-19,금오로(광명시계),186009.859895,442604.947339,37.47970836,126.84568019,6067
B-20,오리로(광명시계),186105,442593,37.47960209,126.84674346,14383
B-21,개봉로(개봉교),187302.087526,443031.264703,37.48356815,126.86011191,25241
B-22,광명대교(광명시계),188799.726093,442845.631707,37.48191408,126.87684938,28199
B-23,철산교(광명시계),189248.578812,441676.103787,37.4713801,126.88188113,19929
B-24,금천교(광명시계),189776.878856,440585.948941,37.46156202,126.88779794,50601
B-25,금하로(광명시계),190423.225984,439111.924802,37.44828557,126.89503656,28178
B-26,오정로(부천시계),183158.839363,449254.914663,37.53958762,126.8136786,26957
B-27,화곡로(화곡로입구),184478,448880,37.53623154,126.82843725,28561
B-28,경인고속국도(신월IC),185181,447307,37.52206789,126.83632832,103550
B-29,경인로(유한공고),184313.594374,443266.257648,37.48564134,126.82671345,36665
B-30,신정로(작동터널),184448,445203,37.50309629,126.82817621,51994
B-31,김포대로(개화교),181967.262021,454014.878725,37.58245918,126.80024229,60973
B-32,올림픽대로(개화IC),183484,454270,37.58478568,126.8172066,203027
B-33,통일로(고양시계),191766.010683,460807.999962,37.64380894,126.90980141,59500
B-34,서오릉로(고양시계),191705.649189,457593.577066,37.61484254,126.9091604,51143
B-35,수색로(고양시계),189971.537695,454250.346428,37.5846991,126.88979413,65387
B-36,강변북로(난지한강공원),188739,452378,37.56781305,126.87603112,299757
B-37,강변북로(구리시계),210360,451547,37.56033489,127.11787882,159345
B-38,동부간선도로(상도지하차도),204627,464758,37.67942754,127.05383396,87685
C-01,행주대교,183194,455379,37.59477407,126.81393754,120567
C-02,월드컵대교,189882,450789,37.5535069,126.888838,81224
C-03,가양대교,187636,452084,37.56515004,126.86369741,124750
C-04,성산대교,190385,450291,37.54902447,126.89446989,158934
C-05,양화대교,191513,449316,37.54024913,126.90709573,128203
C-06,서강대교,193396,448653,37.5342895,126.92815771,43772
C-07,마포대교,194380,448236,37.53053807,126.9391633,124183
C-08,원효대교,195164,447478,37.52371175,126.9479339,55718
C-09,한강대교,196388,446508,37.51497611,126.96162268,103647
C-10,동작대교,198378,445569,37.50651986,126.98387019,54985
